Normalization,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,p1,p0,"p0 = [1, 100, 'entropy', 0.06, 3, 0.02, 200]",,,,"p1 = [1, 100, ""entropy"", 0.01, 2, 0.05, 200]",,,,,,,,
,,63,71,,,,103,,,,103,,,,,
,,40,32,,,,0,,,,0,,,,,
,Prediction,,,67,fnc,class,,67,fnc,class,,,,,,
0,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
1,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
2,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
3,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
4,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
5,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
6,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
7,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
8,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
9,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
10,1,FALSE,TRUE,1,1,1,TRUE,0,0,0,TRUE,1,TRUE,1,,
11,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
12,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
13,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
14,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
15,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
16,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
17,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
18,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
19,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
20,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
21,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
22,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
23,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
24,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
25,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
26,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
27,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
28,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
29,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
30,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
31,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
32,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
33,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
34,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
35,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
36,1,FALSE,TRUE,1,1,1,TRUE,0,0,0,TRUE,1,TRUE,1,,
37,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
38,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
39,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
40,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
41,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
42,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
43,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
44,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
45,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
46,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
47,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
48,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
49,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
50,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
51,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
52,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
53,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
54,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
55,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
56,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
57,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
58,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
59,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
60,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
61,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
62,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
63,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
64,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
65,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
66,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
67,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
68,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
69,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
70,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
71,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
72,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,1,,
73,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
74,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
75,1,FALSE,TRUE,1,1,1,TRUE,0,0,0,TRUE,1,TRUE,1,,
76,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
77,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
78,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
79,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
80,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
81,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
82,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
83,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
84,1,TRUE,FALSE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
85,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
86,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
87,0,FALSE,TRUE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
88,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
89,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
90,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
91,1,TRUE,FALSE,0,0,0,TRUE,1,1,1,TRUE,0,TRUE,0,,
92,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
93,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
94,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
95,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
96,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
97,1,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
98,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
99,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
100,1,TRUE,TRUE,1,1,1,TRUE,1,1,1,TRUE,1,TRUE,1,,
101,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
102,0,TRUE,TRUE,0,0,0,TRUE,0,0,0,TRUE,0,TRUE,0,,
